epoch	iso_utc	elapsed_s	gpu	name	util_pct	mem_used_mb	mem_total_mb	ours	ctrl_alive	trials	champion
1787349490.165	2026-08-21T21:58:10Z	50406	4	NVIDIA H200	100	25002	143771	no	alive	163	0.967286
1787349490.165	2026-08-21T21:58:10Z	50406	5	NVIDIA H200	15	1356	143771	no	alive	163	0.967286
1787349490.165	2026-08-21T21:58:10Z	50406	6	NVIDIA H200	15	1356	143771	no	alive	163	0.967286
1787349490.165	2026-08-21T21:58:10Z	50406	7	NVIDIA H200	0	4	143771	no	alive	163	0.967286
1787351290.383	2026-08-21T22:28:10Z	52206	0	NVIDIA H200	0	2187	143771	yes	alive	165	0.967286
1787351290.383	2026-08-21T22:28:10Z	52206	1	NVIDIA H200	15	1356	143771	no	alive	165	0.967286
1787351290.383	2026-08-21T22:28:10Z	52206	2	NVIDIA H200	14	1356	143771	no	alive	165	0.967286
1787351290.383	2026-08-21T22:28:10Z	52206	3	NVIDIA H200	15	2445	143771	no	alive	165	0.967286
1787351290.383	2026-08-21T22:28:10Z	52206	4	NVIDIA H200	100	25001	143771	no	alive	165	0.967286
1787351290.383	2026-08-21T22:28:10Z	52206	5	NVIDIA H200	15	1356	143771	no	alive	165	0.967286
1787351290.383	2026-08-21T22:28:10Z	52206	6	NVIDIA H200	13	1356	143771	no	alive	165	0.967286
1787351290.383	2026-08-21T22:28:10Z	52206	7	NVIDIA H200	0	4	143771	no	alive	165	0.967286
1787353090.594	2026-08-21T22:58:10Z	54006	0	NVIDIA H200	0	2187	143771	yes	alive	167	0.967286
1787353090.594	2026-08-21T22:58:10Z	54006	1	NVIDIA H200	21	1356	143771	no	alive	167	0.967286
1787353090.594	2026-08-21T22:58:10Z	54006	2	NVIDIA H200	19	1356	143771	no	alive	167	0.967286
